Código Departamento,stateProvince,Código Municipio,county,Código Centro poblado,municipality,tipo Centro poblado,decimalLatitude,decimalLongitude,SPCM,SPC
05,Antioquia,05001,Medellín,05001000,Medellín,Cabecera Municipal,5.610109776103298,-74.886816625,Antioquia Medellín Medellín,Antioquia Medellín
05,Antioquia,05001,Medellín,05001001,Palmitas,Cabecera Corregimiento Municipal,6.34334089347,-75.6900389693,Antioquia Medellín Palmitas,Antioquia Medellín
05,Antioquia,05001,Medellín,05001004,Santa Elena,Cabecera Corregimiento Municipal,6.20971787918,-75.5019143923,Antioquia Medellín Santa Elena,Antioquia Medellín
05,Antioquia,05001,Medellín,05001009,Altavista,Cabecera Corregimiento Municipal,6.22314994282,-75.628555609,Antioquia Medellín Altavista,Antioquia Medellín
05,Antioquia,05001,Medellín,05001010,Aguas Frías,Cabecera Corregimiento Municipal,6.23266500838,-75.6352605737,Antioquia Medellín Aguas Frías,Antioquia Medellín
05,Antioquia,05001,Medellín,05001012,La Loma,Centro Poblado,6.26890954844,-75.6297502396,Antioquia Medellín La Loma,Antioquia Medellín
05,Antioquia,05001,Medellín,05001013,San José del Manzanillo,Centro Poblado,6.20599238274,-75.613253719,Antioquia Medellín San José del Manzanillo,Antioquia Medellín
05,Antioquia,05001,Medellín,05001014,Barro Blanco,Centro Poblado,6.23524475774,-75.4775274764,Antioquia Medellín Barro Blanco,Antioquia Medellín
05,Antioquia,05001,Medellín,05001015,El Cerro,Centro Poblado,6.20203052919,-75.4910410078,Antioquia Medellín El Cerro,Antioquia Medellín
05,Antioquia,05001,Medellín,05001017,El Patio,Centro Poblado,6.27784054391,-75.6511104566,Antioquia Medellín El Patio,Antioquia Medellín
05,Antioquia,05001,Medellín,05001018,El Placer,Centro Poblado,6.22476175005,-75.493016447,Antioquia Medellín El Placer,Antioquia Medellín
05,Antioquia,05001,Medellín,05001019,El Plan,Centro Poblado,6.20435940546,-75.5183703508,Antioquia Medellín El Plan,Antioquia Medellín
05,Antioquia,05001,Medellín,05001022,La Aldea,Centro Poblado,6.34289130619,-75.7031636573,Antioquia Medellín La Aldea,Antioquia Medellín
05,Antioquia,05001,Medellín,05001023,La Cuchilla,Centro Poblado,6.29351349325,-75.6535601037,Antioquia Medellín La Cuchilla,Antioquia Medellín
05,Antioquia,05001,Medellín,05001025,La Palma,Centro Poblado,6.27340609841,-75.6480765037,Antioquia Medellín La Palma,Antioquia Medellín
05,Antioquia,05001,Medellín,05001027,Las Playas,Centro Poblado,6.28445573385,-75.6493034281,Antioquia Medellín Las Playas,Antioquia Medellín
05,Antioquia,05001,Medellín,05001029,Piedra Gorda,Centro Poblado,6.23489110834,-75.4981843876,Antioquia Medellín Piedra Gorda,Antioquia Medellín
05,Antioquia,05001,Medellín,05001031,Potrerito,Centro Poblado,6.18307584128,-75.6679063363,Antioquia Medellín Potrerito,Antioquia Medellín
05,Antioquia,05001,Medellín,05001032,Travesías,Centro Poblado,6.28703564688,-75.643112773,Antioquia Medellín Travesías,Antioquia Medellín
05,Antioquia,05001,Medellín,05001033,Urquita,Centro Poblado,6.369324039,-75.701451414,Antioquia Medellín Urquita,Antioquia Medellín
05,Antioquia,05001,Medellín,05001035,Boquerón,Centro Poblado,6.31586755554,-75.6578507638,Antioquia Medellín Boquerón,Antioquia Medellín
05,Antioquia,05001,Medellín,05001039,El Llano 1,Centro Poblado,6.29450590412,-75.6494921616,Antioquia Medellín El Llano 1,Antioquia Medellín
05,Antioquia,05001,Medellín,05001040,El Llano,Centro Poblado,6.198305504,-75.5033218943,Antioquia Medellín El Llano,Antioquia Medellín
05,Antioquia,05001,Medellín,05001048,La Verde,Centro Poblado,6.18995760826,-75.6390036987,Antioquia Medellín La Verde,Antioquia Medellín
05,Antioquia,05001,Medellín,05001052,Matasano,Centro Poblado,6.2588623729,-75.4935775142,Antioquia Medellín Matasano,Antioquia Medellín
05,Antioquia,05001,Medellín,05001054,Matasano 2,Centro Poblado,6.26734833706,-75.5054370152,Antioquia Medellín Matasano 2,Antioquia Medellín
05,Antioquia,05001,Medellín,05001055,Mazo,Centro Poblado,6.24831991104,-75.4987233702,Antioquia Medellín Mazo,Antioquia Medellín
05,Antioquia,05001,Medellín,05001057,Media Luna,Centro Poblado,6.24024756757,-75.5160019367,Antioquia Medellín Media Luna,Antioquia Medellín
05,Antioquia,05001,Medellín,05001066,Las Camelias,Centro Poblado,6.19672936207,-75.6433773563,Antioquia Medellín Las Camelias,Antioquia Medellín
05,Antioquia,05002,Abejorral,05002000,Abejorral,Cabecera Municipal,5.78930448541,-75.4287380971,Antioquia Abejorral Abejorral,Antioquia Abejorral
05,Antioquia,05002,Abejorral,05002002,Pantanillo,Cabecera Corregimiento Municipal,5.73025195746,-75.4907772798,Antioquia Abejorral Pantanillo,Antioquia Abejorral
05,Antioquia,05002,Abejorral,05002004,Naranjal - Las Fondas,Caserío,5.76341111153,-75.5141698055,Antioquia Abejorral Naranjal - Las Fondas,Antioquia Abejorral
05,Antioquia,05002,Abejorral,05002016,Las Canoas,Centro Poblado,5.7821878371,-75.4290709182,Antioquia Abejorral Las Canoas,Antioquia Abejorral
05,Antioquia,05004,Abriaquí,05004000,Abriaquí,Cabecera Municipal,6.63180645181,-76.0647034585,Antioquia Abriaquí Abriaquí,Antioquia Abriaquí
05,Antioquia,05004,Abriaquí,05004003,Potreros Sector 1,Caserío,6.67447971816,-76.0893929091,Antioquia Abriaquí Potreros Sector 1,Antioquia Abriaquí
05,Antioquia,05021,Alejandría,05021000,Alejandría,Cabecera Municipal,6.37606567589,-75.1413329006,Antioquia Alejandría Alejandría,Antioquia Alejandría
05,Antioquia,05030,Amagá,05030000,Amagá,Cabecera Municipal,6.03880857536,-75.7019460715,Antioquia Amagá Amagá,Antioquia Amagá
05,Antioquia,05030,Amagá,05030001,Camilo C,Centro Poblado,6.02667314615,-75.6984879911,Antioquia Amagá Camilo C,Antioquia Amagá
05,Antioquia,05030,Amagá,05030003,La Clarita,Centro Poblado,6.06889191673,-75.6996511257,Antioquia Amagá La Clarita,Antioquia Amagá
05,Antioquia,05030,Amagá,05030004,La Ferreira,Caserío,6.06338699202,-75.7092743132,Antioquia Amagá La Ferreira,Antioquia Amagá
05,Antioquia,05030,Amagá,05030005,La Gualí,Caserío,6.05736756336,-75.7068700899,Antioquia Amagá La Gualí,Antioquia Amagá
05,Antioquia,05030,Amagá,05030006,Piedecuesta,Caserío,6.04999176281,-75.693460235,Antioquia Amagá Piedecuesta,Antioquia Amagá
05,Antioquia,05030,Amagá,05030011,Minas,Centro Poblado,6.07757277836,-75.7011447836,Antioquia Amagá Minas,Antioquia Amagá
05,Antioquia,05030,Amagá,05030012,Camilo C - Alto de la Virgen,Cabecera Corregimiento Municipal,6.02729109281,-75.7031061978,Antioquia Amagá Camilo C - Alto de la Virgen,Antioquia Amagá
